Player,totalYds,YPG,Height (in),Height %,Arm Length (in),Arm %,40 Yard,40%,3 Factors
Justin Jefferson,4825,96,73.25,1.008257031,33,1.034457073,4.43,0.985006347,3.027720451
Julio Jones,13629,87,74.75,1.028903932,33.75,1.057967461,4.34,0.964994931,3.051866325
Ja'Marr Chase,2501,86,72.38,0.996281828,30.75,0.963925909,4.34,0.964994931,2.925202668
Calvin Johnson,11619,86,77,1.059874285,36,1.128498625,4.38,0.973888894,3.162261804
Michael Thomas,6121,83,74.75,1.028903932,32.13,1.007185023,4.57,1.016135215,3.052224171
Antonio Brown,12291,80,70.13,0.965311475,31,0.971762705,4.56,1.013911725,2.950985905
Cooper Kupp,6329,79,73.75,1.015139331,31.5,0.987436297,4.62,1.027252669,3.029828297
Tyreek Hill,8340,77,68.13,0.937782273,30.5,0.956089113,4.29,0.953877478,2.847748864
Torry Holt,13382,77,72.3,0.99518066,30.25,0.948252317,4.44,0.987229837,2.930662814
DeAndre Hopkins,11298,77,73,1.004815881,33.38,1.046369003,4.57,1.016135215,3.067320099
Odell Beckham Jr.,7367,76,71.25,0.980727829,32.75,1.026620277,4.43,0.985006347,2.992354452
Mike Evans,10425,76,76.75,1.056433135,35.13,1.101226575,4.53,1.007241253,3.164900963
Marvin Harrison,14580,76,71.9,0.989674819,30.75,0.963925909,,1,2.953600728
Stefon Diggs,8812,74,72,0.991051279,31.25,0.979599501,4.46,0.991676819,2.962327599
A.J. Brown,4491,74,72.5,0.99793358,32.88,1.030695411,4.49,0.99834729,3.026976281
Keenan Allen,9287,73,74,1.018580482,32.75,1.026620277,,1,3.045200759
Andre Johnson,14185,73,74,1.018580482,34,1.065804257,4.4,0.978335875,3.062720614
Terrell Owens,15934,72,74.9,1.030968623,34.5,1.081477849,4.65,1.03392314,3.146369612
Davante Adams,9637,72,72.88,1.003164128,32.63,1.022858615,4.56,1.013911725,3.039934468
Jaylen Waddle,2371,71,69.5,0.956639777,30.375,0.952170715,,1,2.908810492
Randy Moss,15292,70,75.6,1.040603843,34,1.065804257,4.38,0.973888894,3.080296994
CeeDee Lamb,3396,69,73.63,1.013487579,32.25,1.010946685,4.5,1.000570781,3.025005045
Brandon Marshall,12351,69,76.5,1.052991984,32.63,1.022858615,4.54,1.009464744,3.085315343
Demaryius Thomas,9763,68,75.25,1.035786233,33,1.034457073,,1,3.070243306
Calvin Ridley,3342,68,72.5,0.99793358,31.625,0.991354695,4.43,0.985006347,2.974294622
Anquan Boldin,13779,68,72.6,0.99931004,30,0.940415521,4.73,1.051711065,2.991436626
Terry McLaurin,4281,67,72.13,0.992840678,31.5,0.987436297,4.35,0.967218422,2.947495396
T.Y. Hilton,9812,67,69.5,0.956639777,32,1.003109889,4.37,0.971665403,2.931415069
Steve Smith Sr.,14731,67,69,0.949757476,31.5,0.987436297,4.44,0.987229837,2.92442361
Reggie Wayne,14345,67,72,0.991051279,32,1.003109889,4.45,0.989453328,2.983614496
Marques Colston,9759,66,76.63,1.054781383,33.38,1.046369003,4.54,1.009464744,3.110615129
Chad Johnson,11059,66,73,1.004815881,32,1.003109889,4.58,1.018358706,3.026284476
A.J. Green,10514,66,75.63,1.041016781,34.38,1.077716187,4.48,0.9961238,3.114856768
Tee Higgins,3028,65,75.63,1.041016781,34.13,1.069879391,4.59,1.020582197,3.131478369
D.J. Moore,5201,65,72,0.991051279,31.63,0.991511431,4.42,0.982782856,2.965345566
Chris Godwin,5666,65,73,1.004815881,31.625,0.991354695,4.42,0.982782856,2.978953432
Brandin Cooks,8616,65,69.75,0.960080927,30.75,0.963925909,4.33,0.96277144,2.886778276
Amari Cooper,8236,65,72.88,1.003164128,31.5,0.987436297,4.42,0.982782856,2.973383281
Terry Glenn,8823,64,70.5,0.970404378,32.5,1.018783481,,1,2.989187859
Justin Blackmon,1280,64,72.88,1.003164128,32.5,1.018783481,4.48,0.9961238,3.018071409
Garrett Wilson,1103,64,71.75,0.987610129,32,1.003109889,4.38,0.973888894,2.964608912
Roddy White,10863,63,73.25,1.008257031,,1,4.46,0.991676819,2.999933849
Keyshawn Johnson,10571,63,75.3,1.036474463,33.5,1.050130665,,1,3.086605128
Dez Bryant,7506,63,74,1.018580482,34,1.065804257,4.52,1.005017762,3.089402501
Deebo Samuel,3230,63,71.25,0.980727829,31.375,0.983517899,4.48,0.9961238,2.960369527
D.K. Metcalf,4218,63,75.38,1.037575631,34.875,1.093233043,4.33,0.96277144,3.093580115
DeVonta Smith,2112,62,72.25,0.99449243,31.875,0.999191491,,1,2.993683921
David Boston,4699,62,73.3,1.008945261,32.25,1.010946685,4.47,0.993900309,3.013792255
Amon-Ra St. Brown,2073,62,71.5,0.984168979,30.375,0.952170715,4.61,1.025029178,2.961368872
Alshon Jeffery,6786,62,74.88,1.030693331,33,1.034457073,4.48,0.9961238,3.061274203
DeSean Jackson,11263,61,69.75,0.960080927,29.75,0.932578725,4.4,0.978335875,2.870995527
Allen Robinson,6748,61,74.63,1.02725218,32,1.003109889,4.6,1.022805687,3.053167757
JuJu Smith-Schuster,4788,60,73.25,1.008257031,32.88,1.030695411,4.54,1.009464744,3.048417185
Jeremy Maclin,6835,59,72.13,0.992840678,,1,4.45,0.989453328,2.982294006
Jarvis Landry,7870,59,71.5,0.984168979,31.75,0.995273093,4.65,1.03392314,3.013365212
Vincent Jackson,9080,58,76.75,1.056433135,32.75,1.026620277,4.5,1.000570781,3.083624193
Will Fuller,3136,57,72.13,0.992840678,30.75,0.963925909,4.32,0.96054795,2.917314536
Plaxico Burress,8499,57,77.4,1.065380125,33.75,1.057967461,4.59,1.020582197,3.143929783
Greg Jennings,8291,57,71.13,0.979076076,31,0.971762705,4.47,0.993900309,2.944739091
Dwayne Bowe,7208,57,74.25,1.022021632,34.25,1.073641053,4.58,1.018358706,3.114021391
Darrell Jackson,7132,57,71.8,0.988298359,31.25,0.979599501,4.58,1.018358706,2.986256566
Mike Wallace,8072,56,72.38,0.996281828,,1,4.28,0.951653987,2.947935815
Laveranues Coles,8609,56,71.3,0.981416059,30.63,0.960164247,4.48,0.9961238,2.937704105
Jordy Nelson,8587,56,74.63,1.02725218,32.5,1.018783481,4.55,1.011688234,3.057723896
Diontae Johnson,3646,56,70.5,0.970404378,30.75,0.963925909,4.53,1.007241253,2.94157154
Brandon Aiyuk,2589,56,71.63,0.985958377,33.5,1.050130665,4.5,1.000570781,3.036659823
Tyler Lockett,7100,55,69.88,0.961870325,30,0.940415521,4.4,0.978335875,2.880621721
Jerry Jeudy,2295,55,73,1.004815881,32.13,1.007185023,4.45,0.989453328,3.001454231
Hines Ward,12083,55,71.6,0.985545439,30.5,0.956089113,,1,2.941634552
Hakeem Nicks,5081,55,72.75,1.00137473,,1,4.51,1.002794272,3.004169002
Michael Pittman Jr.,2510,54,76,1.046109684,32.5,1.018783481,4.52,1.005017762,3.069910927
Christian Kirk,4010,54,70.38,0.968752626,30.38,0.952327451,4.47,0.993900309,2.914980386
Sterling Shepard,4038,53,70.25,0.966963228,30.38,0.952327451,4.48,0.9961238,2.915414478
Santonio Holmes,6030,53,70.63,0.972193776,,1,4.35,0.967218422,2.939412198
Robert Woods,7604,53,72.38,0.996281828,31.08,0.97427048,4.51,1.002794272,2.973346579
Pierre Garcon,7854,53,71.88,0.989399527,31.13,0.975837839,4.44,0.987229837,2.952467204
Percy Harvin,4026,53,71.13,0.979076076,,1,4.39,0.976112384,2.955188461
Eric Moulds,9995,53,72.9,1.00343942,32,1.003109889,,1,3.006549309
Emmanuel Sanders,9245,53,70.88,0.975634926,32,1.003109889,4.4,0.978335875,2.95708069
Courtland Sutton,3487,53,75.38,1.037575631,32.375,1.014865083,4.54,1.009464744,3.061905458
Antonio Bryant,5685,53,73.3,1.008945261,32.25,1.010946685,4.6,1.022805687,3.042697633
Santana Moss,10283,52,69.6,0.958016237,29,0.909068337,4.31,0.958324459,2.825409033
Michael Crabtree,7499,52,73.38,1.010046429,,1,,1,3.010046429
Marquise Brown,3070,52,69.38,0.954988025,30.5,0.956089113,,1,2.911077137
Eric Decker,5816,52,75.13,1.034134481,31,0.971762705,4.54,1.009464744,3.015361929
Derrick Mason,12061,52,70.8,0.974533758,32.25,1.010946685,4.55,1.011688234,2.997168677
Corey Davis,3278,52,74.75,1.028903932,33,1.034457073,,1,3.063361005
Tyler Boyd,5333,51,73.5,1.011698181,32,1.003109889,4.58,1.018358706,3.033166776
Sammy Watkins,5059,51,72.75,1.00137473,32,1.003109889,4.43,0.985006347,2.989490966
Golden Tate,8278,51,70.25,0.966963228,30.5,0.956089113,4.42,0.982782856,2.905835197
Marvin Jones,7386,50,73.88,1.01692873,33.13,1.038532207,4.46,0.991676819,3.047137755
Lee Evans,6008,50,70.9,0.975910218,32.38,1.015021819,4.41,0.980559365,2.971491403
Kenny Golladay,3670,50,75.75,1.042668534,32,1.003109889,4.5,1.000570781,3.046349204
Javon Walker,4011,50,74.8,1.029592163,32.5,1.018783481,4.4,0.978335875,3.026711518
Germane Crowell,2722,50,75.4,1.037850923,33.25,1.042293869,,1,3.080144792
Drake London,866,50,75.88,1.044457932,33,1.034457073,,1,3.078915005
Martavis Bryant,2183,49,75.75,1.042668534,32.63,1.022858615,4.42,0.982782856,3.048310005
Kelvin Benjamin,3021,49,77,1.059874285,34.88,1.093389779,4.61,1.025029178,3.178293242
Julian Edelman,6822,49,70.38,0.968752626,,1,4.52,1.005017762,2.973770388
Johnny Knox,2214,49,71.5,0.984168979,,1,4.29,0.953877478,2.938046457
DeVante Parker,5266,49,74.63,1.02725218,33.25,1.042293869,4.45,0.989453328,3.058999377
Danario Alexander,1395,49,76.63,1.054781383,34.75,1.089314645,,1,3.144096028
Chris Chambers,7648,49,71.6,0.985545439,34,1.065804257,4.33,0.96277144,3.014121137
Braylon Edwards,5522,49,74.88,1.030693331,33.13,1.038532207,4.45,0.989453328,3.058678866
Amani Toomer,9497,49,74.9,1.030968623,32.5,1.018783481,4.5,1.000570781,3.050322885
Steve Johnson,4764,48,73.88,1.01692873,32.75,1.026620277,4.59,1.020582197,3.064131203
Randall Cobb,7585,48,70.25,0.966963228,31,0.971762705,4.46,0.991676819,2.930402751
Michael Gallup,3326,48,72.75,1.00137473,31.5,0.987436297,4.51,1.002794272,2.991605299
Darnell Mooney,2179,48,70,0.963522077,30.88,0.968001043,4.38,0.973888894,2.905412014
Kendall Wright,3858,47,70.25,0.966963228,30.5,0.956089113,4.49,0.99834729,2.921399631
George Pickens,801,47,75.25,1.035786233,32.38,1.015021819,4.47,0.993900309,3.044708361
Deion Branch,6644,47,69.1,0.951133936,30,0.940415521,4.47,0.993900309,2.885449766
Chase Claypool,2184,47,76.25,1.049550834,32.5,1.018783481,4.42,0.982782856,3.051117171
Jamison Crowder,4667,46,68.38,0.941223423,30.38,0.952327451,4.56,1.013911725,2.907462599
Hunter Renfrow,2629,46,70.5,0.970404378,29,0.909068337,4.59,1.020582197,2.900054911
Eddie Kennison,8345,46,71.4,0.982792519,31,0.971762705,4.5,1.000570781,2.955126005
Tyrell Williams,3195,45,75.5,1.039227383,33.5,1.050130665,4.43,0.985006347,3.074364395
Kevin Johnson,4595,45,71.1,0.978663138,30.75,0.963925909,4.41,0.980559365,2.923148413
Jordan Matthews,3288,45,75.13,1.034134481,33.25,1.042293869,4.46,0.991676819,3.068105169
Jakobi Meyers,2758,45,73.63,1.013487579,32,1.003109889,4.63,1.029476159,3.046073627
Brian Hartline,4766,45,73.63,1.013487579,,1,4.52,1.005017762,3.018505342
Sidney Rice,3592,44,75.5,1.039227383,33.5,1.050130665,4.53,1.007241253,3.096599301
Rashod Bateman,800,44,72.38,0.996281828,33,1.034457073,4.43,0.985006347,3.015745248
Mike Williams,27516,44,76.63,1.054781383,34.13,1.069879391,4.57,1.016135215,3.140795989
Koren Robinson,4244,44,73.5,1.011698181,31.5,0.987436297,4.61,1.025029178,3.024163656
Kenny Britt,5137,44,74.88,1.030693331,,1,4.49,0.99834729,3.029040621
Bobby Engram,7751,44,69.6,0.958016237,30.25,0.948252317,,1,2.906268554
Torrey Smith,5141,43,72.88,1.003164128,32.63,1.022858615,4.41,0.980559365,3.006582109
Miles Austin,5273,43,74.13,1.02036988,31,0.971762705,4.5,1.000570781,2.992703366
Marcus Robinson,4699,43,75.4,1.037850923,34.13,1.069879391,4.55,1.011688234,3.119418548
James Jones,5861,43,72.75,1.00137473,33,1.034457073,4.58,1.018358706,3.054190509
Darius Slayton,2554,43,73,1.004815881,32.75,1.026620277,4.39,0.976112384,3.007548542
Brandon LaFell,5398,43,74.5,1.025462782,32.75,1.026620277,4.58,1.018358706,3.070441765
Albert Connell,2674,43,72.4,0.99655712,31.5,0.987436297,4.55,1.011688234,2.995681651
Peerless Price,5281,42,70.9,0.975910218,31.5,0.987436297,4.55,1.011688234,2.975034749
Mario Manningham,2849,42,71.75,0.987610129,32.13,1.007185023,4.62,1.027252669,3.022047821
Gabriel Davis,1984,42,74,1.018580482,32.25,1.010946685,4.54,1.009464744,3.03899191
Denarius Moore,2169,42,71.63,0.985958377,33,1.034457073,4.43,0.985006347,3.005421797
Cecil Shorts,2979,42,71.75,0.987610129,31.63,0.991511431,4.58,1.018358706,2.997480266
Brandon Lloyd,5989,42,72.1,0.99242774,31.25,0.979599501,4.61,1.025029178,2.997056418
Steve Smith,2641,41,71.75,0.987610129,32.25,1.010946685,4.45,0.989453328,2.988010142
Rueben Randle,2644,41,74.88,1.030693331,33,1.034457073,4.55,1.011688234,3.076838638
Nate Burleson,5630,41,73,1.004815881,,1,4.51,1.002794272,3.007610152
Mark Clayton,3448,41,70.38,0.968752626,30.63,0.960164247,4.43,0.985006347,2.913923219
Davone Bess,3809,41,69.88,0.961870325,30.13,0.944490655,4.77,1.060605028,2.966966008
Allen Hurns,3380,41,73.25,1.008257031,32,1.003109889,4.55,1.011688234,3.023055154
Terrance Williams,3377,40,74,1.018580482,31.28,0.980539916,4.52,1.005017762,3.00413816
Quincy Enunwa,1617,40,74,1.018580482,32.63,1.022858615,4.41,0.980559365,3.021998462
Kevin Curtis,3297,40,71.1,0.978663138,30.38,0.952327451,4.46,0.991676819,2.922667408
Donovan Peoples-Jones,1740,40,73.63,1.013487579,33.5,1.050130665,4.48,0.9961238,3.059742044
Travis Taylor,4017,39,72.9,1.00343942,31.5,0.987436297,4.43,0.985006347,2.975882064
Steve Breaston,3387,39,72.38,0.996281828,33.25,1.042293869,4.48,0.9961238,3.034699497
Kevin Dyson,2325,39,73.1,1.006192341,34.25,1.073641053,,1,3.079833394
Ike Hilliard,6397,39,71.9,0.989674819,32.63,1.022858615,,1,3.012533434
David Givens,2318,39,72,0.991051279,31.5,0.987436297,4.57,1.016135215,2.994622792
Allen Lazard,2236,39,76.63,1.054781383,32.25,1.010946685,4.55,1.011688234,3.077416302
Titus Young,990,38,71.38,0.982517227,30.88,0.968001043,4.43,0.985006347,2.935524616
Rondale Moore,849,38,67,0.922228274,28.25,0.885557949,4.32,0.96054795,2.768334173
Rishard Matthews,2712,38,72.38,0.996281828,32.5,1.018783481,4.54,1.009464744,3.024530052
Nico Collins,927,38,76.13,1.047899082,34.125,1.069722655,4.45,0.989453328,3.107075065
Michael Floyd,3959,38,74.63,1.02725218,32.88,1.030695411,4.4,0.978335875,3.036283466
K.J. Osborn,1305,38,72,0.991051279,31.25,0.979599501,4.48,0.9961238,2.96677458
Danny Amendola,6212,38,70.5,0.970404378,,1,4.7,1.045040594,3.015444971
Az-Zahir Hakim,4191,38,69.6,0.958016237,30.5,0.956089113,4.45,0.989453328,2.903558678
Austin Collie,1908,38,72.88,1.003164128,,1,4.56,1.013911725,3.017075853
Marquez Valdes-Scantling,2840,37,76,1.046109684,32.25,1.010946685,4.37,0.971665403,3.028721772
Marqise Lee,2184,37,71.75,0.987610129,31.75,0.995273093,4.52,1.005017762,2.987900984
Lance Moore,4816,37,69.25,0.953198626,,1,4.52,1.005017762,2.958216389
Kenny Stills,4911,37,72.5,0.99793358,30.48,0.955462169,4.38,0.973888894,2.927284643
Jerricho Cotchery,6623,37,72.5,0.99793358,31,0.971762705,4.56,1.013911725,2.98360801
Eddie Royal,4357,37,69.63,0.958429175,31,0.971762705,4.46,0.991676819,2.921868698
Donnie Avery,2861,37,71,0.977286678,30.75,0.963925909,4.46,0.991676819,2.932889406
D.J. Hackett,1575,37,74.5,1.025462782,31.25,0.979599501,4.55,1.011688234,3.016750517
Bernard Berrian,4122,37,73,1.004815881,30.5,0.956089113,4.58,1.018358706,2.9792637
Willie Snead,3431,36,71,0.977286678,33,1.034457073,4.62,1.027252669,3.03899642
Rae Carruth,804,36,70.6,0.971780838,31.13,0.975837839,,1,2.947618677
Mecole Hardman,2088,36,70.25,0.966963228,30.25,0.948252317,4.33,0.96277144,2.877986985
Jabar Gaffney,5690,36,73.1,1.006192341,32.5,1.018783481,4.56,1.013911725,3.038887546
Elijah Moore,984,36,69.5,0.956639777,30.125,0.944333919,4.35,0.967218422,2.868192117
Devin Funchess,2265,36,76.25,1.049550834,33.5,1.050130665,4.7,1.045040594,3.144722093
Curtis Samuel,2770,36,71,0.977286678,31.25,0.979599501,4.31,0.958324459,2.915210639
Reggie Brown,2574,35,73.63,1.013487579,31.38,0.983674635,4.52,1.005017762,3.002179976
Nelson Agholor,4246,35,72.13,0.992840678,32.25,1.010946685,4.42,0.982782856,2.986570219
Mohamed Sanu,4871,35,73.5,1.011698181,33.5,1.050130665,4.62,1.027252669,3.089081515
Laurent Robinson,2110,35,74,1.018580482,33.75,1.057967461,4.44,0.987229837,3.06377778
Jordan Shipley,858,35,71.25,0.980727829,30.5,0.956089113,4.6,1.022805687,2.959622629
Jeremy McDaniel,826,35,72.5,0.99793358,30.63,0.960164247,4.63,1.029476159,2.987573986
Jacquez Green,2311,35,68.9,0.948381016,31.25,0.979599501,,1,2.927980517
Greg Little,1890,35,74.5,1.025462782,33.25,1.042293869,4.51,1.002794272,3.070550923
Brandon Stokley,5339,35,73,1.004815881,,1,4.49,0.99834729,3.003163171
Brandon Gibson,2711,35,72.38,0.996281828,,1,4.59,1.020582197,3.016864025
Rod Gardner,3165,34,74.3,1.022709862,33,1.034457073,4.48,0.9961238,3.053290735
Leonard Hankerson,1408,34,73.5,1.011698181,32.25,1.010946685,4.4,0.978335875,3.000980741
Josh Palmer,1122,34,73.25,1.008257031,33,1.034457073,4.52,1.005017762,3.047731866
Dennis Northcutt,4941,34,70.4,0.969027918,29,0.909068337,4.46,0.991676819,2.869773073
Russell Gage,2491,33,72,0.991051279,33,1.034457073,4.5,1.000570781,3.026079134
Patrick Jeffers,1563,33,75.1,1.033721543,31.63,0.991511431,4.63,1.029476159,3.054709133
Kendrick Bourne,3003,33,73.25,1.008257031,32.5,1.018783481,4.68,1.040593612,3.067634124
Josh Doctson,1100,33,74,1.018580482,31.88,0.999348227,4.5,1.000570781,3.01849949
Jerome Pathon,3350,33,72,0.991051279,30.88,0.968001043,,1,2.959052322
Jermaine Kearse,3290,33,72.88,1.003164128,32.13,1.007185023,4.5,1.000570781,3.010919932
Devin Hester,2508,33,70.63,0.972193776,31.13,0.975837839,4.46,0.991676819,2.939708433
Chris Henry,1826,33,76,1.046109684,,1,4.5,1.000570781,3.046680465
Anthony Gonzalez,1307,33,72,0.991051279,31,0.971762705,4.46,0.991676819,2.954490803
Samie Parker,1529,32,70.4,0.969027918,28.25,0.885557949,4.39,0.976112384,2.830698251
Preston Williams,787,32,76.25,1.049550834,33,1.034457073,4.61,1.025029178,3.109037085
Mohamed Massaquoi,1745,32,73.5,1.011698181,,1,4.6,1.022805687,3.034503868
Keith Poole,1734,32,72.8,1.00206296,30.63,0.960164247,4.57,1.016135215,2.978362423
Justin McCareins,3676,32,73.8,1.015827561,32,1.003109889,4.46,0.991676819,3.010614269
Jerome Simpson,2058,32,73.75,1.015139331,34.25,1.073641053,4.44,0.987229837,3.076010222
Dede Westbrook,1788,32,71.63,0.985958377,30.625,0.960007511,4.39,0.976112384,2.922078272
Charlie Jones,1736,32,68,0.935992875,31.63,0.991511431,4.59,1.020582197,2.948086503
Van Jefferson,1391,31,73.5,1.011698181,32.75,1.026620277,,1,3.038318458
Quincy Morgan,2466,31,72.9,1.00343942,31.5,0.987436297,4.48,0.9961238,2.986999517
Michael Clayton,2955,31,74.8,1.029592163,32.38,1.015021819,4.61,1.025029178,3.069643159
Kadarius Toney,591,31,71.63,0.985958377,31.25,0.979599501,4.38,0.973888894,2.939446772
Jeremy Kerley,3116,31,69.5,0.956639777,30,0.940415521,4.56,1.013911725,2.910967022
Harry Douglas,3759,31,71.25,0.980727829,32.25,1.010946685,4.57,1.016135215,3.007809729
Donte Moncrief,2576,31,74.38,1.02381103,32.38,1.015021819,4.4,0.978335875,3.017168724
Donald Hayes,1988,31,76.6,1.054368445,34.25,1.073641053,4.57,1.016135215,3.144144713
Derrick Mayes,1823,31,72.1,0.99242774,32.88,1.030695411,4.67,1.038370122,3.061493272
Antwaan Randle El,4467,31,69.6,0.958016237,30.5,0.956089113,4.54,1.009464744,2.923570093
Parris Campbell,983,30,71.88,0.989399527,32.25,1.010946685,4.31,0.958324459,2.958670672
Joe Jurevicius,4119,30,76.9,1.058497825,33,1.034457073,4.66,1.036146631,3.129101529
Dorial Green-Beckham,941,30,77.13,1.061663683,32.5,1.018783481,4.49,0.99834729,3.078794455
Tai Streets,2268,29,73.4,1.010321721,33.13,1.038532207,4.44,0.987229837,3.036083765
Marquise Goodwin,3023,29,68.88,0.948105724,31.48,0.986809353,4.27,0.949430497,2.884345574
Keke Coutee,966,29,69.75,0.960080927,29.88,0.936653859,4.43,0.985006347,2.881741133
Earl Bennett,2277,29,71.5,0.984168979,32.13,1.007185023,4.52,1.005017762,2.996371764
David Terrell,1602,29,75.1,1.033721543,31.5,0.987436297,4.43,0.985006347,3.006164187
Corey Coleman,789,29,70.63,0.972193776,30.25,0.948252317,4.4,0.978335875,2.898781968
Corey Bradford,3346,29,72.6,0.99931004,35.25,1.104988237,4.47,0.993900309,3.098198586
Chris Givens,1779,29,71.13,0.979076076,31.25,0.979599501,4.35,0.967218422,2.925893999
Breshad Perriman,2343,29,74,1.018580482,32,1.003109889,4.52,1.005017762,3.026708133
Aaron Dobson,698,29,74.75,1.028903932,33,1.034457073,4.37,0.971665403,3.035026408
Zay Jones,2707,28,73.88,1.01692873,32.5,1.018783481,4.45,0.989453328,3.025165538
Travis Benjamin,3143,28,69.88,0.961870325,31.75,0.995273093,4.31,0.958324459,2.915467877
Robert Meachem,2914,28,74,1.018580482,32.25,1.010946685,4.4,0.978335875,3.007863041
Paul Richardson,1809,28,72.38,0.996281828,32.63,1.022858615,4.4,0.978335875,2.997476318
Kelly Campbell,1062,28,70.1,0.964898537,31,0.971762705,4.52,1.005017762,2.941679005
Ernest Wilford,2022,28,75.6,1.040603843,32.75,1.026620277,4.76,1.058381537,3.125605658
Bobby Wade,2858,28,70.3,0.967651458,31.5,0.987436297,4.68,1.040593612,2.995681367
Albert Wilson,2499,28,69.38,0.954988025,30.38,0.952327451,4.43,0.985006347,2.892321822
Riley Cooper,2418,27,75.38,1.037575631,32.63,1.022858615,4.53,1.007241253,3.067675499
Quez Watkins,1107,27,72.13,0.992840678,32.88,1.030695411,4.35,0.967218422,2.99075451
Kenbrell Thompkins,893,27,72.63,0.999722978,32.28,1.0118871,4.54,1.009464744,3.021074822
Early Doucet,1491,27,72.13,0.992840678,,1,4.59,1.020582197,3.013422874
Doug Gabriel,1550,27,74.3,1.022709862,32.5,1.018783481,4.56,1.013911725,3.055405068
Antonio Callaway,695,27,70.63,0.972193776,31.5,0.987436297,4.41,0.980559365,2.940189438
Troy Edwards,2404,26,69.5,0.956639777,30.13,0.944490655,4.57,1.016135215,2.917265647
Reche Caldwell,1851,26,71.8,0.988298359,32,1.003109889,4.53,1.007241253,2.998649501
Markus Wheaton,1559,26,71,0.977286678,32.68,1.024425974,4.45,0.989453328,2.99116598
MarTay Jenkins,987,26,71.4,0.982792519,31.5,0.987436297,4.5,1.000570781,2.970799597
James Washington,1629,26,71,0.977286678,32.375,1.014865083,4.54,1.009464744,3.001616505
Jalen Guyton,1023,26,72.88,1.003164128,32,1.003109889,4.39,0.976112384,2.982386402
Dez White,2149,26,73.3,1.008945261,32.75,1.026620277,4.62,1.027252669,3.062818206
Chris Conley,2853,26,73.88,1.01692873,33.75,1.057967461,4.35,0.967218422,3.042114612
Zach Pascal,2038,25,73.75,1.015139331,32,1.003109889,4.55,1.011688234,3.029937455
Stephen Hill,594,25,76,1.046109684,33.38,1.046369003,4.28,0.951653987,3.044132674
Scotty Anderson,858,25,74.1,1.019956942,31.5,0.987436297,4.57,1.016135215,3.023528454
Reidel Anthony,1846,25,71.5,0.984168979,32.5,1.018783481,,1,3.00295246
Quintez Cephus,568,25,72.88,1.003164128,32.13,1.007185023,4.73,1.051711065,3.062060217
Mikhael Ricks,914,25,77.1,1.061250745,35.13,1.101226575,4.57,1.016135215,3.178612536
Marquez Callaway,1069,25,73.25,1.008257031,32.38,1.015021819,4.55,1.011688234,3.034967084
Marquess Wilson,777,25,74.63,1.02725218,31.18,0.977405198,4.51,1.002794272,3.00745165
Louis Murphy,2443,25,74.38,1.02381103,,1,4.32,0.96054795,2.98435898
Kris Durham,699,25,77.25,1.063315435,,1,4.46,0.991676819,3.054992254
Josh Reynolds,2325,25,74.75,1.028903932,31.5,0.987436297,4.52,1.005017762,3.021357992
John Ross,957,25,70.75,0.973845528,31.5,0.987436297,4.22,0.938313044,2.899594869
Jarius Wright,2782,25,69.63,0.958429175,31.5,0.987436297,4.39,0.976112384,2.921977856
Greg Salas,704,25,73.13,1.006605279,32,1.003109889,4.53,1.007241253,3.016956421
Donald Jones,887,25,72.38,0.996281828,32,1.003109889,4.46,0.991676819,2.991068535
Cedrick Wilson,4730,25,69.8,0.960769157,29,0.909068337,4.46,0.991676819,2.861514312
Vincent Brown,941,24,71.25,0.980727829,33,1.034457073,4.68,1.040593612,3.055778514
Robert Ferguson,1993,24,73,1.004815881,,1,4.48,0.9961238,3.00093968
Derrius Thompson,1543,24,74,1.018580482,31.5,0.987436297,4.6,1.022805687,3.028822466
