Player,totalYds,YPG,Height (in),Height %,Arm Length (in),Arm %,40 Yard,40%,3 Factors
Troy Williamson,1131,23,73.38,1.010046429,33,1.034457073,4.34,0.964994931,3.009498433
Trevor Gaylor,784,23,75.3,1.036474463,32.75,1.026620277,4.59,1.020582197,3.083676937
Tiquan Underwood,1006,23,73.13,1.006605279,,1,4.31,0.958324459,2.964929738
Rashard Higgins,1890,23,73.38,1.010046429,32.25,1.010946685,4.64,1.03169965,3.052692764
Preston Parker,1054,23,71.25,0.980727829,30.375,0.952170715,4.66,1.036146631,2.969045175
Marlon Brown,891,23,75.88,1.044457932,32.75,1.026620277,,1,3.071078209
David Moore,1163,23,72.63,0.999722978,30.625,0.960007511,4.43,0.985006347,2.944736836
Damian Williams,1327,23,72.63,0.999722978,31.75,0.995273093,4.52,1.005017762,3.000013833
Corey Brown,1019,23,71.38,0.982517227,31.75,0.995273093,4.51,1.002794272,2.980584591
Brandon Jones,1398,23,73.38,1.010046429,33.13,1.038532207,4.47,0.993900309,3.042478945
Andre' Davis,2470,23,73.5,1.011698181,31.5,0.987436297,4.41,0.980559365,2.979693844
Tutu Atwell,596,22,68.1,0.937369335,30.75,0.963925909,4.51,1.002794272,2.904089516
Tony Simmons,998,22,72.8,1.00206296,33.25,1.042293869,4.35,0.967218422,3.011575251
Stedman Bailey,843,22,70.25,0.966963228,32.68,1.024425974,4.52,1.005017762,2.996406964
Roydell Williams,1248,22,73.38,1.010046429,,1,4.52,1.005017762,3.015064191
Richie James,1258,22,70.13,0.965311475,31.25,0.979599501,4.48,0.9961238,2.941034776
Quinton Patton,880,22,72,0.991051279,32.78,1.027560692,4.53,1.007241253,3.025853225
Mark Bradley,1283,22,73.38,1.010046429,31.38,0.983674635,4.43,0.985006347,2.978727411
Justin Hunter,1349,22,76,1.046109684,33.28,1.043234285,4.44,0.987229837,3.076573806
Jacoby Jones,2733,22,74.63,1.02725218,34.25,1.073641053,4.55,1.011688234,3.112581468
Jacoby Ford,848,22,68.88,0.948105724,30.5,0.956089113,4.22,0.938313044,2.842507881
JaJuan Dawson,664,22,73,1.004815881,,1,4.55,1.011688234,3.016504115
Greg Dortch,482,22,67.13,0.924017672,29.25,0.916905133,4.59,1.020582197,2.861505002
Denzel Mims,676,22,74.88,1.030693331,33.88,1.062042595,4.38,0.973888894,3.066624819
Dedric Ward,2307,22,68.6,0.944251636,30,0.940415521,4.56,1.013911725,2.898578881
Damiere Byrd,1689,22,69.25,0.953198626,29.875,0.936497123,4.39,0.976112384,2.865808134
D'Wayne Bates,1061,22,73.6,1.013074641,32.63,1.022858615,4.59,1.020582197,3.056515453
Charles Lee,957,22,73.5,1.011698181,33.5,1.050130665,4.6,1.022805687,3.084634533
Bryan Still,1181,22,71.1,0.978663138,32,1.003109889,4.4,0.978335875,2.960108902
Bryan Edwards,779,22,74.75,1.028903932,32.25,1.010946685,,1,3.039850617
Brandon Coleman,1099,22,78,1.073638886,34,1.065804257,4.56,1.013911725,3.153354868
Auden Tate,799,22,76.88,1.058222533,33.75,1.057967461,4.68,1.040593612,3.156783606
Tajae Sharpe,1397,21,74,1.018580482,32.25,1.010946685,4.55,1.011688234,3.041215401
Robert Foster,642,21,73.63,1.013487579,32.13,1.007185023,4.41,0.980559365,3.001231968
Phillip Dorsett,2001,21,69.75,0.960080927,30.25,0.948252317,4.33,0.96277144,2.871104684
Jauan Jennings,698,21,75.13,1.034134481,31.63,0.991511431,4.72,1.049487575,3.075133487
Isaiah Ford,681,21,73.25,1.008257031,32.63,1.022858615,4.61,1.025029178,3.056144824
Geronimo Allison,1045,21,75.25,1.035786233,32.88,1.030695411,4.67,1.038370122,3.104851766
Dexter McCluster,1541,21,68.75,0.946316326,29.25,0.916905133,4.53,1.007241253,2.870462712
Demetrius Williams,1008,21,73.75,1.015139331,,1,,1,3.015139331
Demarcus Robinson,2137,21,73.38,1.010046429,33,1.034457073,4.59,1.020582197,3.065085699
Ryan Broyles,420,20,70.13,0.965311475,30.25,0.948252317,4.57,1.016135215,2.929699008
Kevin Lockett,1738,20,71.9,0.989674819,33.25,1.042293869,4.57,1.016135215,3.048103904
KeeSean Johnson,360,20,73.13,1.006605279,32,1.003109889,4.6,1.022805687,3.032520855
Jordan Norwood,844,20,70.88,0.975634926,,1,4.62,1.027252669,3.002887595
Freddie Mitchell,1263,20,71.4,0.982792519,31,0.971762705,4.47,0.993900309,2.948455533
Dezmon Briscoe,502,20,74,1.018580482,33.5,1.050130665,4.66,1.036146631,3.104857778
Darrius Heyward-Bey,2897,20,73.63,1.013487579,,1,4.25,0.944983516,2.958471095
Chaz Schilens,1191,20,75.88,1.044457932,,1,4.38,0.973888894,3.018346825
Austin Pettis,1034,20,74.63,1.02725218,31.75,0.995273093,4.56,1.013911725,3.036436998
Taywan Taylor,697,19,71,0.977286678,32.63,1.022858615,4.5,1.000570781,3.000716074
Tavon Austin,2239,19,68.5,0.942875176,30.08,0.942923296,4.34,0.964994931,2.850793402
Sammie Stroughter,639,19,69.38,0.954988025,,1,4.54,1.009464744,2.964452768
Roscoe Parrish,1502,19,69.75,0.960080927,29.25,0.916905133,4.4,0.978335875,2.855321935
Keenan Burton,425,19,72.5,0.99793358,34.38,1.077716187,4.48,0.9961238,3.071773567
Jermaine Lewis,2129,19,67.4,0.927734114,31.38,0.983674635,4.47,0.993900309,2.905309058
Jason Hill,1043,19,72.5,0.99793358,32.75,1.026620277,4.35,0.967218422,2.991772279
Greg Ward,768,19,70.5,0.970404378,31.125,0.975681103,4.59,1.020582197,2.966667677
Domenik Hixon,1460,19,74.13,1.02036988,,1,4.39,0.976112384,2.996482264
Devin Duvernay,880,19,70.5,0.970404378,30.63,0.960164247,4.39,0.976112384,2.906681009
Devin Aromashodu,1193,19,74.5,1.025462782,32.75,1.026620277,4.4,0.978335875,3.030418934
Dante Pettis,984,19,72.5,0.99793358,32.25,1.010946685,,1,3.008880265
Chansi Stuckey,1062,19,70.63,0.972193776,31.5,0.987436297,4.58,1.018358706,2.977988779
Arnaz Battle,2150,19,73,1.004815881,,1,4.58,1.018358706,3.023174587
Ace Sanders,539,19,67,0.922228274,29.48,0.924114985,4.58,1.018358706,2.864701965
Tyrone Calico,501,18,75.8,1.043356764,34.38,1.077716187,4.36,0.969441912,3.090514863
T.J. Jones,852,18,71.63,0.985958377,30.625,0.960007511,4.48,0.9961238,2.942089688
Roger Lewis,513,18,72.38,0.996281828,32,1.003109889,4.57,1.016135215,3.015526932
Jason Tucker,565,18,73,1.004815881,32.25,1.010946685,4.55,1.011688234,3.0274508
Jarrett Boykin,731,18,73.75,1.015139331,32.25,1.010946685,4.62,1.027252669,3.053338685
Jarett Dillard,398,18,70.25,0.966963228,,1,4.52,1.005017762,2.97198099
Byron Pringle,1033,18,73.13,1.006605279,32,1.003109889,4.46,0.991676819,3.001391986
Brian Quick,1593,18,75.5,1.039227383,34.25,1.073641053,4.5,1.000570781,3.113439217
Andre Holmes,1744,18,76.38,1.051340232,34,1.065804257,4.51,1.002794272,3.119938761
Tyler Johnson,529,17,73.38,1.010046429,30.88,0.968001043,,1,2.978047472
Tavarres King,303,17,72.25,0.99449243,33.08,1.036964848,4.47,0.993900309,3.025357587
Shi Smith,400,17,69.5,0.956639777,31.875,0.999191491,4.46,0.991676819,2.947508086
Ron Dugans,797,17,73.4,1.010321721,31.5,0.987436297,4.58,1.018358706,3.016116724
Ricardo Louis,562,17,73.75,1.015139331,32.38,1.015021819,4.43,0.985006347,3.015167497
Quentin McCord,427,17,70.1,0.964898537,30,0.940415521,4.49,0.99834729,2.903661349
N'Keal Harry,714,17,74.88,1.030693331,33,1.034457073,4.53,1.007241253,3.072391657
Marcus Johnson,938,17,72.88,1.003164128,31.875,0.999191491,4.39,0.976112384,2.978468004
Malcolm Kelly,365,17,75.75,1.042668534,,1,4.68,1.040593612,3.083262146
Mack Hollins,1440,17,75.75,1.042668534,33.25,1.042293869,4.53,1.007241253,3.092203656
Jason McAddley,578,17,73.5,1.011698181,31.13,0.975837839,4.5,1.000570781,2.988106801
Jalen Reagor,799,17,70.63,0.972193776,31.38,0.983674635,4.47,0.993900309,2.94976872
Derek Hagan,1734,17,73.75,1.015139331,31.5,0.987436297,4.45,0.989453328,2.992028956
Deon Butler,611,17,70.38,0.968752626,,1,4.31,0.958324459,2.927077085
Delanie Walker,796,17,73.25,1.008257031,32,1.003109889,4.55,1.011688234,3.023055154
Bruce Ellington,769,17,69.38,0.954988025,31,0.971762705,4.45,0.989453328,2.916204057
Brice Butler,1237,17,75.25,1.035786233,34.5,1.081477849,4.37,0.971665403,3.088929485
Ben Obomanu,1217,17,73,1.004815881,,1,4.45,0.989453328,2.994269209
Andre Roberts,3079,17,70.88,0.975634926,31.5,0.987436297,4.4,0.978335875,2.941407098
Aldrick Robinson,1422,17,69.63,0.958429175,29.5,0.924741929,4.35,0.967218422,2.850389525
Tyron Johnson,422,16,72.88,1.003164128,30.875,0.967844307,4.36,0.969441912,2.940450348
Stepfret Williams,421,16,71.9,0.989674819,31.75,0.995273093,4.59,1.020582197,3.005530109
Ryan Grant,1333,16,72.38,0.996281828,31,0.971762705,4.64,1.03169965,2.999744183
Ricky Seals-Jones,430,16,76.63,1.054781383,33.13,1.038532207,4.69,1.042817103,3.136130692
Legedu Naanee,1232,16,74.25,1.022021632,33,1.034457073,4.44,0.987229837,3.043708542
Larry Foster,617,16,69.9,0.962145617,30,0.940415521,4.57,1.016135215,2.918696354
Laquon Treadwell,1226,16,74,1.018580482,33.38,1.046369003,4.64,1.03169965,3.096649134
Jaelen Strong,330,16,74.38,1.02381103,32.5,1.018783481,4.44,0.987229837,3.029824348
Isaiah McKenzie,1345,16,67.25,0.925669424,28.875,0.905149939,4.42,0.982782856,2.813602219
Hank Baskett,1098,16,74.88,1.030693331,32.75,1.026620277,4.52,1.005017762,3.06233137
Equanimeous St. Brown,866,16,76.75,1.056433135,33,1.034457073,4.48,0.9961238,3.087014008
Devard Darling,578,16,73.1,1.006192341,32.25,1.010946685,4.52,1.005017762,3.022156788
Cordarrelle Patterson,2087,16,73.88,1.01692873,31.68,0.99307879,4.42,0.982782856,2.992790376
Chad Hansen,330,16,73.75,1.015139331,32.13,1.007185023,4.53,1.007241253,3.029565607
Braxton Berrios,1085,16,68.63,0.944664574,28,0.877721153,4.44,0.987229837,2.809615564
Bennie Fowler,1101,16,73.25,1.008257031,32,1.003109889,4.52,1.005017762,3.016384682
Arrelious Benn,990,16,73,1.004815881,32.25,1.010946685,4.57,1.016135215,3.031897781
Trenton Irwin,270,15,73.5,1.011698181,31.125,0.975681103,,1,2.987379284
Tim Carter,1090,15,71.9,0.989674819,32,1.003109889,4.34,0.964994931,2.957779639
Olabisi Johnson,483,15,72.5,0.99793358,30.75,0.963925909,4.51,1.002794272,2.964653761
Mike Thomas,4324,15,67.88,0.934341123,,1,4.3,0.956100969,2.890442092
Marcell Ateman,270,15,76.5,1.052991984,32.88,1.030695411,4.62,1.027252669,3.110940064
Macey Brooks,376,15,76.6,1.054368445,35.13,1.101226575,4.65,1.03392314,3.18951816
Kevin Ogletree,1049,15,72.5,0.99793358,,1,4.36,0.969441912,2.967375492
Keith Kirkwood,257,15,74.5,1.025462782,33.75,1.057967461,4.45,0.989453328,3.072883571
Freddie Swain,502,15,72,0.991051279,30.63,0.960164247,4.46,0.991676819,2.942892345
DeAndre Carter,1220,15,68.5,0.942875176,30.625,0.960007511,4.48,0.9961238,2.899006486
Will Blackwell,682,14,72,0.991051279,33.38,1.046369003,4.62,1.027252669,3.064672951
T.J. Graham,472,14,71.38,0.982517227,32.75,1.026620277,4.34,0.964994931,2.974132435
Noah Brown,980,14,74,1.018580482,31.75,0.995273093,4.56,1.013911725,3.027765299
Lavelle Hawkins,771,14,71,0.977286678,30.13,0.944490655,4.58,1.018358706,2.940136039
Kyle Williams,574,14,70,0.963522077,30,0.940415521,4.4,0.978335875,2.882273473
Kevin White,397,14,74.63,1.02725218,32.63,1.022858615,4.35,0.967218422,3.017329217
Josh Huff,523,14,71.25,0.980727829,31.25,0.979599501,4.51,1.002794272,2.963121601
Jakeem Grant,1140,14,65.88,0.906811921,29.75,0.932578725,4.37,0.971665403,2.811056049
Collin Johnson,377,14,77.63,1.068545984,31.75,0.995273093,,1,3.063819077
Cody Latimer,935,14,74.5,1.025462782,32.63,1.022858615,4.52,1.005017762,3.053339159
Chris Moore,1286,14,73,1.004815881,33.38,1.046369003,4.53,1.007241253,3.058426136
Cam Sims,804,14,75.63,1.041016781,33.25,1.042293869,4.59,1.020582197,3.103892847
Andre Caldwell,1509,14,72.25,0.99449243,32.75,1.026620277,4.39,0.976112384,2.997225091
Trent Taylor,834,13,67.63,0.930899973,28.75,0.901231541,4.63,1.029476159,2.861607673
Ricardo Lockette,451,13,74.13,1.02036988,33.75,1.057967461,4.34,0.964994931,3.043332272
Ramses Barden,394,13,78,1.073638886,,1,4.55,1.011688234,3.08532712
Lil'Jordan Humphrey,315,13,75.63,1.041016781,32.75,1.026620277,4.75,1.056158047,3.123795105
LaVon Brazill,347,13,70.63,0.972193776,32,1.003109889,4.43,0.985006347,2.960310012
Jordan Taylor,351,13,76.38,1.051340232,32.75,1.026620277,4.54,1.009464744,3.087425253
James Williams,410,13,70.9,0.975910218,30.5,0.956089113,4.6,1.022805687,2.954805018
Dwayne Jarrett,428,13,76,1.046109684,,1,4.62,1.027252669,3.073362352
Darrin Chiaverini,662,13,73.1,1.006192341,29.5,0.924741929,4.53,1.007241253,2.938175523
Damion Ratley,407,13,73.75,1.015139331,31,0.971762705,4.39,0.976112384,2.963014421
Craig Yeast,321,13,67.6,0.930487035,29.5,0.924741929,4.49,0.99834729,2.853576254
Troy Walters,1135,12,66.5,0.915345973,28.5,0.893394745,4.55,1.011688234,2.820428952
Tandon Doss,428,12,74,1.018580482,31.25,0.979599501,4.56,1.013911725,3.012091707
Sammie Coates,528,12,73.38,1.010046429,33.38,1.046369003,4.43,0.985006347,3.041421779
Michael Campanaro,310,12,69.38,0.954988025,30,0.940415521,4.46,0.991676819,2.887080364
Keshawn Martin,685,12,71.5,0.984168979,31.5,0.987436297,4.42,0.982782856,2.954388132
Justin Hardy,946,12,70.25,0.966963228,32.13,1.007185023,4.56,1.013911725,2.988059975
Jeff Webb,382,12,74.13,1.02036988,32.25,1.010946685,4.43,0.985006347,3.016322911
David Clowney,341,12,72.25,0.99449243,31.75,0.995273093,4.39,0.976112384,2.965877907
Clarence Moore,353,12,78,1.073638886,,1,4.55,1.011688234,3.08532712
Chris Doering,476,12,75.5,1.039227383,31.75,0.995273093,4.87,1.082839934,3.11734041
Brian Robiskie,485,12,74.88,1.030693331,,1,4.46,0.991676819,3.022370149
Braxton Miller,261,12,73.38,1.010046429,31.75,0.995273093,4.5,1.000570781,3.005890303
Bethel Johnson,606,12,71,0.977286678,31.25,0.979599501,4.37,0.971665403,2.928551582
Wane McGarity,363,11,68,0.935992875,30,0.940415521,4.53,1.007241253,2.883649649
Sinorice Moss,421,11,68,0.935992875,29.13,0.913143471,4.4,0.978335875,2.827472221
Nate Poole,418,11,73.5,1.011698181,32.5,1.018783481,4.8,1.0672755,3.097757162
Jonathan Carter,266,11,71.6,0.985545439,33,1.034457073,4.4,0.978335875,2.998338387
Jerrel Jernigan,391,11,68.88,0.948105724,32,1.003109889,4.46,0.991676819,2.942892432
Jeff Smith,426,11,72,0.991051279,31.5,0.987436297,4.36,0.969441912,2.947929489
Devin Smith,248,11,72.38,0.996281828,31,0.971762705,4.42,0.982782856,2.950827389
David Anderson,595,11,70.5,0.970404378,29.88,0.936653859,4.6,1.022805687,2.929863924
Chris Owusu,296,11,72.13,0.992840678,31.75,0.995273093,4.31,0.958324459,2.94643823
Chad Williams,202,11,72.5,0.99793358,32,1.003109889,4.43,0.985006347,2.986049816
Andy Isabella,426,11,68.75,0.946316326,29.75,0.932578725,4.31,0.958324459,2.83721951
Tywan Mitchell,276,10,77,1.059874285,,1,4.74,1.053934556,3.113808841
Ty Montgomery,598,10,71.88,0.989399527,31,0.971762705,4.55,1.011688234,2.972850466
Trent Sherfield,844,10,72.25,0.99449243,31.875,0.999191491,4.45,0.989453328,2.983137249
Terrence Austin,184,10,69.63,0.958429175,,1,4.52,1.005017762,2.963446937
Justin Watson,573,10,74.38,1.02381103,33.75,1.057967461,4.44,0.987229837,3.069008328
James Roe,239,10,72.6,0.99931004,33.88,1.062042595,4.66,1.036146631,3.097499266
DeVier Posey,272,10,73.63,1.013487579,31.63,0.991511431,4.39,0.976112384,2.981111394
Dane Sanzenbacher,449,10,71.38,0.982517227,30.5,0.956089113,4.56,1.013911725,2.952518065
Corey Fuller,288,10,74.25,1.022021632,33.28,1.043234285,4.43,0.985006347,3.050262263
Robert Wilson,431,9,70.8,0.974533758,32.25,1.010946685,4.82,1.071722481,3.057202924
Neal Sterling,239,9,75.38,1.037575631,33.125,1.038375471,4.63,1.029476159,3.105427261
Maurice Stovall,668,9,76.38,1.051340232,33.75,1.057967461,4.59,1.020582197,3.12988989
Juwan Johnson,198,9,76,1.046109684,34.25,1.073641053,4.58,1.018358706,3.138109443
Jake Kumerow,436,9,76.5,1.052991984,31.875,0.999191491,4.54,1.009464744,3.061648219
Dwayne Harris,874,9,70.38,0.968752626,31.13,0.975837839,4.53,1.007241253,2.951831717
Chris Harper,278,9,72.75,1.00137473,32.68,1.024425974,4.55,1.011688234,3.037488939
Brandon Tate,1099,9,71.88,0.989399527,,1,,1,2.989399527
Brandon Powell,354,9,68,0.935992875,29.25,0.916905133,4.59,1.020582197,2.873480205
Alvis Whitted,1030,9,71.5,0.984168979,33.63,1.054205799,4.5,1.000570781,3.038945559
Terrance Copper,1018,8,71.9,0.989674819,30.63,0.960164247,4.51,1.002794272,2.952633338
Sam Aiken,684,8,73.9,1.017204022,31.25,0.979599501,4.64,1.03169965,3.028503172
Na Brown,363,8,72.6,0.99931004,30.63,0.960164247,4.56,1.013911725,2.973386012
Miles Boykin,481,8,75.75,1.042668534,33.5,1.050130665,4.42,0.982782856,3.075582055
Larry Parker,240,8,72.9,1.00343942,32.5,1.018783481,4.49,0.99834729,3.020570192
Ken-Yon Rambo,239,8,72.6,0.99931004,30,0.940415521,4.34,0.964994931,2.904720492
Javon Wims,266,8,74.88,1.030693331,31.5,0.987436297,4.53,1.007241253,3.025370881
Jammi German,294,8,72.5,0.99793358,33.5,1.050130665,4.53,1.007241253,3.055305498
Devin Thomas,482,8,73.88,1.01692873,32.88,1.030695411,4.43,0.985006347,3.032630487
Darren Waller,178,8,78.13,1.075428284,33.25,1.042293869,4.46,0.991676819,3.109398972
Brad Smith,960,8,74.13,1.02036988,33.5,1.050130665,4.51,1.002794272,3.073294817
Aundrae Allison,231,8,72.25,0.99449243,32.25,1.010946685,4.42,0.982782856,2.988221971
Ashton Dulin,450,8,73.38,1.010046429,33.38,1.046369003,4.43,0.985006347,3.041421779
Stephen Burton,149,7,73.38,1.010046429,32,1.003109889,4.5,1.000570781,3.013727099
Ryan Switzer,321,7,68.5,0.942875176,28,0.877721153,4.51,1.002794272,2.8233906
Rashad Greene,185,7,71.38,0.982517227,31.63,0.991511431,4.53,1.007241253,2.981269911
Pharoh Cooper,545,7,71.13,0.979076076,32.25,1.010946685,4.65,1.03392314,3.023945902
Mike Davis,299,7,72,0.991051279,30.25,0.948252317,4.52,1.005017762,2.944321359
Kevin Kasper,287,7,72,0.991051279,30.5,0.956089113,4.44,0.987229837,2.93437023
Keith Mumphery,198,7,71.63,0.985958377,31.13,0.975837839,4.54,1.009464744,2.971260959
Junior Hemingway,233,7,72.88,1.003164128,32.5,1.018783481,4.48,0.9961238,3.018071409
Jared Abbrederis,163,7,73,1.004815881,31.38,0.983674635,4.5,1.000570781,2.989061297
D.J. Foster,142,7,70.25,0.966963228,30.5,0.956089113,4.57,1.016135215,2.939187556
Courtney Taylor,136,7,73.75,1.015139331,32.25,1.010946685,4.52,1.005017762,3.031103779
Cody Core,388,7,74.63,1.02725218,32,1.003109889,4.47,0.993900309,3.024262379
Cameron Batson,197,7,68.25,0.939434025,28.875,0.905149939,4.35,0.967218422,2.811802386
Andre King,327,7,71.9,0.989674819,31.25,0.979599501,4.61,1.025029178,2.994303498
A.J. Jenkins,223,7,72.25,0.99449243,32.75,1.026620277,4.37,0.971665403,2.99277811
Seyi Ajirotutu,424,6,75.38,1.037575631,32.63,1.022858615,4.6,1.022805687,3.083239933
Reggie Barlow,522,6,71.3,0.981416059,33.13,1.038532207,4.59,1.020582197,3.040530462
Niles Paul,353,6,72.88,1.003164128,31,0.971762705,4.45,0.989453328,2.964380161
Marc Mariani,324,6,72.88,1.003164128,,1,4.48,0.9961238,2.999287928
Lestar Jean,186,6,75,1.032345083,33,1.034457073,4.61,1.025029178,3.091831334
James Proche,278,6,70.63,0.972193776,29.75,0.932578725,,1,2.904772501
Iheanyi Uwaezuoke,374,6,72,0.991051279,32.88,1.030695411,,1,3.02174669
Eddie Berlin,379,6,71.4,0.982792519,30.5,0.956089113,4.44,0.987229837,2.926111469
Dietrich Jells,247,6,70.3,0.967651458,31.5,0.987436297,,1,2.955087755
Damon Griffin,137,6,69.1,0.951133936,30.13,0.944490655,4.68,1.040593612,2.936218203
Courtney Roby,343,6,72.13,0.992840678,31.38,0.983674635,4.41,0.980559365,2.957074678
Chris Cole,164,6,72.1,0.99242774,32.5,1.018783481,4.37,0.971665403,2.982876624
Charone Peake,214,6,74.38,1.02381103,34,1.065804257,4.45,0.989453328,3.079068615
Andrae Thurman,104,6,71.3,0.981416059,30.88,0.968001043,4.53,1.007241253,2.956658354
Trevor Davis,205,5,73.13,1.006605279,31,0.971762705,4.42,0.982782856,2.96115084
Tab Perry,109,5,74.5,1.025462782,32.5,1.018783481,4.48,0.9961238,3.040370063
Stephen Williams,101,5,76.5,1.052991984,33.25,1.042293869,4.5,1.000570781,3.095856635
Scottie Montgomery,160,5,72.4,0.99655712,31,0.971762705,4.58,1.018358706,2.986678531
Ron Johnson,126,5,74.5,1.025462782,32,1.003109889,4.7,1.045040594,3.073613265
Patrick Turner,122,5,77.13,1.061663683,,1,4.59,1.020582197,3.08224588
Mark Harris,186,5,75.3,1.036474463,31.5,0.987436297,4.84,1.076169462,3.100080222
Leonte Carroo,192,5,71.88,0.989399527,31.38,0.983674635,4.5,1.000570781,2.973644943
Kassim Osgood,766,5,76.9,1.058497825,33,1.034457073,4.7,1.045040594,3.137995491
Karsten Bailey,88,5,71.8,0.988298359,31,0.971762705,4.33,0.96277144,2.922832505
Johnny Holton,273,5,72.63,0.999722978,32.88,1.030695411,4.54,1.009464744,3.039883133
Joey Kent,159,5,72.6,0.99931004,33.75,1.057967461,,1,3.057277501
Brandon Williams,121,5,69.38,0.954988025,29.38,0.920980267,4.5,1.000570781,2.876539072
Alex Van Dyke,219,5,71.9,0.989674819,32.13,1.007185023,4.57,1.016135215,3.012995058
Todd Watkins,90,4,74.38,1.02381103,31.25,0.979599501,4.43,0.985006347,2.988416878
Mike Strachan,85,4,77.38,1.065104833,34.25,1.073641053,4.54,1.009464744,3.14821063
Mardy Gilyard,78,4,71.88,0.989399527,32.25,1.010946685,4.61,1.025029178,3.02537539
Jeff Maehl,113,4,72.88,1.003164128,31.5,0.987436297,4.56,1.013911725,3.00451215
Jaydon Mickens,145,4,69.88,0.961870325,28.875,0.905149939,4.54,1.009464744,2.876485008
Devin Street,152,4,74.88,1.030693331,33.38,1.046369003,4.55,1.011688234,3.088750568
Derrick Williams,82,4,71.5,0.984168979,,1,4.65,1.03392314,3.018092119
Denard Robinson,186,4,70.5,0.970404378,32.58,1.021291256,4.43,0.985006347,2.97670198
Dameane Douglas,165,4,71.9,0.989674819,29.75,0.932578725,4.7,1.045040594,2.967294138
Yamon Figurs,103,3,71.25,0.980727829,32.5,1.018783481,4.34,0.964994931,2.964506241
Tyrie Cleveland,91,3,74,1.018580482,32.88,1.030695411,4.46,0.991676819,3.040952711
Limas Sweed,69,3,75.88,1.044457932,32.5,1.018783481,4.56,1.013911725,3.077153138
Lee Mays,154,3,73,1.004815881,,1,4.55,1.011688234,3.016504115
Josh Malone,91,3,74.63,1.02725218,31.38,0.983674635,4.4,0.978335875,2.98926269
Jeff Janis,200,3,74.88,1.030693331,32.5,1.018783481,4.42,0.982782856,3.032259668
Chris Davis,72,3,70.25,0.966963228,30,0.940415521,4.51,1.002794272,2.91017302
Tylan Wallace,56,2,71.38,0.982517227,30.375,0.952170715,4.5,1.000570781,2.935258723
Travis McGriff,88,2,68,0.935992875,,1,4.53,1.007241253,2.943234128
Talman Gardner,52,2,72.6,0.99931004,30.25,0.948252317,4.47,0.993900309,2.941462666
Shelton Gibson,59,2,71.13,0.979076076,32,1.003109889,4.5,1.000570781,2.982756747
Quan Cosby,71,2,68.63,0.944664574,,1,4.5,1.000570781,2.945235355
Penny Hart,82,2,68,0.935992875,31,0.971762705,4.63,1.029476159,2.937231739
Marcus Easley,71,2,74.75,1.028903932,32.75,1.026620277,4.39,0.976112384,3.031636594
Cliff Russell,45,2,71.4,0.982792519,32.5,1.018783481,4.43,0.985006347,2.986582346
Alex Bannister,121,2,76.6,1.054368445,32,1.003109889,4.5,1.000570781,3.058049115
Tony Horne,32,1,69.8,0.960769157,32.5,1.018783481,4.66,1.036146631,3.015699269
Tim Jones,30,1,72.75,1.00137473,31.375,0.983517899,4.47,0.993900309,2.978792938
Jehu Chesson,25,1,74.75,1.028903932,33.25,1.042293869,4.47,0.993900309,3.065098111
Geremy Davis,59,1,74.38,1.02381103,32.25,1.010946685,4.58,1.018358706,3.053116421
David Reed,68,1,72.13,0.992840678,31.75,0.995273093,4.56,1.013911725,3.002025495
Darius Reynaud,39,1,69.25,0.953198626,31,0.971762705,4.52,1.005017762,2.929979094
Adam Jennings,62,1,69.13,0.951546874,28.38,0.889633083,4.46,0.991676819,2.832856776
Vince Mayle,0,0,74,1.018580482,31.75,0.995273093,4.67,1.038370122,3.052223696
Keenan Howry,18,0,69.6,0.958016237,29.25,0.916905133,4.62,1.027252669,2.902174038
Justin Hardee,10,0,72.63,0.999722978,32.25,1.010946685,4.36,0.969441912,2.980111575
Isaiah Burse,0,0,70.38,0.968752626,30.25,0.948252317,4.58,1.018358706,2.935363649
Brandon Banks,35,0,66.75,0.918787124,30,0.940415521,4.43,0.985006347,2.844208991
,,,72.65,,31.90,,4.50,,
